Street,LotShape
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR2
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,Reg
Grvl,IR2
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR2
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR2
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR3
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR3
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR3
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Grvl,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR2
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR2
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Grvl,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR1
Pave,IR2
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR2
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Grvl,Reg
Pave,Reg
Pave,Reg
Pave,IR2
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR2
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR2
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,IR2
Pave,Reg
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
Pave,IR1
Pave,IR1
Pave,IR1
Pave,Reg
Pave,Reg
Pave,Reg
Pave,Reg
